,13984
sites.google.com/view/432hzradio-smartplayer,1272235
sites.google.com/view/diestudios/die-3,269641
sites.google.com/view/diestudios/wing-dog,269640
sites.google.com/view/elesisdev/início,1272007
sites.google.com/view/hot-pursuit-challenges,210759
sites.google.com/view/pokemonbushido/home,146979
sites.google.com/view/pollysoftofficial/mother-3,238206
sites.google.com/view/shuumasunovalkiryehumanitislas/inicio?authuser=0,265875
sites.google.com/view/smbz-g,148005
sites.google.com/view/techbyte24/mais/ultra-browser,1000147858
sites.google.com/view/trwotw/war-of-the-worlds?authuser=0,232866
sitespector.com,8312
sitevista.com/cssvista,6825
sitex.com.ua/en/products/iradionet/index.htm,6536
siurellgames.itch.io/the-board-ai,274247
siyokoy.itch.io/what-remains,256288
sketchup.com,649
sketchylogic.itch.io/small-saga,119278
skgames.com,1155009
ski.ihoc.net,11681
skinform.webcindario.com,9098
skipscreen.com,1395
skirynmax.itch.io,1131123
skittlesfiddles.itch.io/repugnant-bounty,229493
skoool.es/maths_toolkit.htm,4845
skraper.net,2140479
skullgirls.com,85703
skumring.eightbitskyline.com,90228
skunkstudios.com,9063
skwire.dcmembers.com/wb/pages/software/list-numberer.php,16342
skwire.dcmembers.com/wb/pages/software/trout.php,1026
skyblivion.com,301423
skydevilpalm.itch.io/victory-heat-rally,142489
skydrow.itch.io/cold-shot,264295
skyhaven.ru/be2,63690
skylightstudiosmx.com,27065
skylum.com,1327997
skynetgroup.org,1305953
skype.com,784
skype.com/intl/es/get-skype/on-your-computer/click-to-call,18403
skypiratestudios.com/help-im-haunted,111442
skyshape.com/mp3resizer_express.html,17293
skyshape.com/seven_classic_start.html,17284
skytopia.com/software/sunsetscreen,41507
skywardentertainment.com/secondstone,216314
slack.com/intl/es-es,789180
slappy-inc.itch.io/aztlan-uncovered,201308
slayersonline.net,138282
sleepisdeath.net,20664
sleepybug.xyz/games/motus.html,17448
slendergame.com,19737
sliber.com,7091
slicedkiwistudios.itch.io/checkxmate,163133
slidealama.eu,186456
slideproject.sourceforge.net,4193
slideshow-creator.com,25367
slim-games.itch.io/the-awakening,240959
slimcode.com/slimkeys,1103
slimesquared.itch.io/ramen-in-the-90s,141190
slimeyyghost.itch.io/underhell,144877
slimjet.com,132629
slitherbop.itch.io/paper-angel,247522
slitherpunk.itch.io/be-not-afraid,143552
slitherpunk.itch.io/sewer-rave,125326
sloinc.itch.io/no-break,159162
slothylabs.itch.io/cosmic-chicken,103657
slyce.itch.io/niva,97303
smaex-games.itch.io/asgards-fall,259911
smallgraygames.itch.io/the-salt-keep,237000
smart-x.com/?categoryid=216&amp;articleid=162,21865
smartalloc.itch.io/oblivion-eve,290295
smartaudioburner.com,4277
smartbarxp.com,8038
smartdeblur.net,23030
smartertools.com,6086
smartguyz.com,7797
smarto-club.itch.io/rental,225523
smartpcutilities.com/game-booster-game-fire.html,15409
smartpcutilities.com/right-click-uninstall.html,2147990
smartpcutilities.com/servicesoptimizer.html,742927
smartpcutilities.com/startupmaster.html,1940204
smartprotector.com/eraser,6581
smartshow-software.com,777969
smartsound.com/sonicfire/index.html,4454
smartsync.com,15927
smash-crusade.itch.io/crusade,132730
smashhitgame.com,39239
smbxgame.com/forums/viewtopic.php?t=29122,278057
smestorp.itch.io/cinco-paus,83157
smileypad.com,7858
sminstall.com/spain,4117
smiterivals.com,26693
smoochgm.itch.io/bobr-kurwa,297241
smoz.sourceforge.net,5045
smplayer.sourceforge.net,2050
smuta.games,294643
snackamp.sourceforge.net,1775
snapcamera.snapchat.com,791705
snapclear.app,1340212
snapfiles.com/get/ie7menutoptweak.html,6962
snapgene.com,1290756
snappea.com,21984
snapshare.org,729703
snapstream.com,2633
snapstream.com/products/beyondtv,12796
snaptouch.com,788
sneese.sourceforge.net,5859
snidesoft.com,8101
sniperelite3.com,21663
snk-corp.co.jp/us/games/kof-xv,171281
snk-corp.co.jp/us/games/ssngc,19987
snkplaymore.co.jp/us/games/kof-xiv,18814
snmpsoft.com/syslogwatcher/syslog-server.html,25963
snoofler.users.sourceforge.net,14109
snowbreak.amazingseasun.com,1304212
snowconesolid.itch.io/thedebug,139269
snowgale.chips.jp/mugen,301352
snowmintcs.com/products/budgetwin/index.php,2742
snowportion.com,8063
snowstep.com/web/html/froggy_castle2_eng.html,243407
snowstep.com/web/html/froggy_castle_eng.html,243405
snugboat11.itch.io/kitty-kart-64,289137
snuti.itch.io/the-life-of-mr-pips,139094
soapstine.itch.io/idolize,258148
sobolsoft.com/oracleduplicate,6960
social.bioware.com/page/me2-dlc,782
socialclub.rockstargames.com/rockstar-games-launcher,769658
socialfolders.me,29929
socketeq.com,21300
sodapdf.com,18074
sodaraptor.itch.io/hypnagogia,144747
sodaraptor.itch.io/interior-worlds,223460
sodelscot.com,2550
soft.vvaaa.com,5625
soft4boost.com/any-audio-grabber,23500
soft4boost.com/any-audio-record,23501
soft4boost.com/any-uninstaller,23276
soft4boost.com/device-uploader,24121
soft4boost.com/disc-cover-studio,25885
soft4boost.com/dup-file-finder,23348
soft4boost.com/dvd-cloner,23279
soft4boost.com/easy-disc-burner,23280
soft4boost.com/pc-win-booster,23277
soft4boost.com/photo-studio,23502
soft4boost.com/secure-eraser,150611
soft4boost.com/update-checker,23382
soft4boost.com/video-converter,152543
soft4boost.com/video-studio,152551
soft4science.com/products/sciwriter/s4s_sciwriter.html,5683
softaken.com/mbox-to-pst-converter,1000190157
softaken.com/olm-to-pst-converter,1000189167
softaken.com/ost-to-pst-converter,1170340
softaken.com/pst-mailbox-converter,1000191454
softakgames.com/clickpuzzle,4526
softakgames.com/clickris,6212
softakgames.com/jongpuzzle,2831
softakgames.com/lineit,1946
softario.com/captus.html,15135
softartstudio.com,5228
softboy.net/flashscr/index.htm,7170
softcleaner.in/soft-cleaner-safe,730027
softcleaner.in/speed-up-your-computer,730026
softclub.ru/games/9548-dacha-kota-leopolda,53166
softclub.ru/games/pc/19640-volkodav-put-voina,250521
softclub.ru/games/pc/20008-osobennosti-natsionalnoj-rybalki,250574
softclub.ru/games/pc/5098-dalnobojshhiki-put-k-pobede,28143
softcodez.com,7233
softcomfortinc.com,26645
softdesigner.com/unhider,4000
softdigi.com/printscreen.html,15241
softella.com/la/index.en.htm?im,23817
softendo.com/mario-games/mario-forever-6.0-download-pc,127882
softether.org,1253290
softexe.com,2121
softexe.com/askw.html,7338
softeza.com/1click-uninstaller,23878
softeza.com/fileencryption,23877
softforyou.com/ip-index.html,1972
softheap.com/index.html,3728
softheap.com/nomsdos.html,6424
softheap.com/pool3d.html,7810
softheap.com/pubpcd.html,2192
softinterface.com,638
softinterface.com/convert-image-to-pdf/convert-tiff-to-pdf.htm,4384
softinventive.com,22767
softkeeper.com/hidemydrives.html,2422
softmaker.com/english/ofw_en.htm,17819
softnix.es,5780
softorbits.com/es/batch-picture-watermark,26291
softorbits.com/picdoctor,25836
softorbits.net/mp3-converter,1308065
softorbits.net/mp4-youtube-downloader,1308424
softorbits.net/screen-recorder,1356774
softorbits.net/video-converter,1308140
softorbits.net/youtube-mp3-downloader,1168636
softorino.com,17803
softorino.com/waltr,769620
softperfect.com/products/firewall,5203
softperfect.com/products/networkscanner,5160
softperfect.com/products/networx,48
softperfect.com/products/wifiguard,21402
softpointer.com,5374
softpyme.net,7982
softpyme.net/programa-ropa.php,24636
softpyme.net/software-facturacion.php,20146
softrm.com/live-cd-ripper.htm,24533
softrm.com/super-prize-egg.htm,24534
softronix.com/logo.html,14593
softspire.com/eudora-converter.html,743399
softspire.com/mdaemon-to-pst,465139
softspire.com/vcard-converter.html,686055
softspire.com/zimbra-converter,219113
softstack.com/fileprotpro.html,329
softstack.com/freesmtp.html,1647
softstack.com/hff.html,2378
softstar.com.tw,106678
softutils.com,1306748
softvoile.com/flashnote,59
softvoile.com/flashpaste,1312
softvoile.com/landiscovery.php,9082
software.redmill.ch/pages/naven.php?id=100,15176
software4u.de/products/iphoneexplorer/default.aspx?lng=en,17319
software602.com/products/pcs/tour.html,6525
softwareclub.ws,6044
softwaredirecto.es,21176
softwareishard.com/blog/firecookie,3505
softwareofchanges.com/spy/spy.htm,8623
softwareok.com,14039
softwareok.com/?download=autopoweroptionsok,1209956
softwareok.com/?microsoft/stressmypc,22583
softwareok.com/?microsoft/winscan2pdf,28957
softwareok.com/?seite=freeware/colorconsole,829827
softwareok.com/?seite=freeware/desktopsnowok,17945
softwareok.com/?seite=freeware/fontviewok,17310
softwareok.com/?seite=freeware/meinplatz,16305
softwareok.com/?seite=freeware/winbin2iso,1111432
softwareok.com/?seite=freeware/winping,825049
softwareok.com/?seite=microsoft/12-ants,15594
softwareok.com/?seite=microsoft/autohidedesktopicons,1242389
softwareok.com/?seite=microsoft/blankandsecure,21803
softwareok.com/?seite=microsoft/classicdesktopclock/history,1098284
softwareok.com/?seite=microsoft/desktopdigitalclock,1129415
softwareok.com/?seite=microsoft/getpixelcolor,1000147486
softwareok.com/?seite=microsoft/ismylcdok&language=english,3740
softwareok.com/?seite=microsoft/keepmousespeedok/history,1364712
softwareok.com/?seite=microsoft/newfiletime,1210768
softwareok.com/?seite=microsoft/oneloupe,1159053
softwareok.com/?seite=microsoft/print.test.page.ok,1129443
softwareok.com/?seite=microsoft/quicktextpaste,795276
softwareok.com/?seite=microsoft/run-command,1210568
softwareok.com/?seite=software/q-dir&language=english,1600
softwareonline.com,7120
sokpop.itch.io/flipper-volcano,138134
sokpop.itch.io/heliopedia,175891
sokpop.itch.io/hellblusser,162410
sokpop.itch.io/pocket-watch,141929
sokpop.itch.io/pyramida,136491
sokpop.itch.io/springblades,227857
sokpop.itch.io/stacklands,196230
sokpop.itch.io/tuin,213904
sol.gfxile.net/atanua,17114
solacegame.com,17289
solarftp.com,14812
solarus-games.org/games/the-legend-of-zelda-a-link-to-the-dream,243669
solarus-games.org/games/the-legend-of-zelda-mystery-of-solarus-dx,243615
solarus-games.org/games/the-legend-of-zelda-mystery-of-solarus-xd,46620
solarus-games.org/games/the-legend-of-zelda-return-of-the-hylian-se,243616
solarus-games.org/zmc,243269
solarvoyager.com/wallpaper.asp,8630
soldat.prv.pl,8152
soldetardor.com/jffa/colorea.htm,3132
soldetardor.com/jffa/kkuentas.htm,6395
soldetardor.com/jffa/mecamax.htm,4876
soldetardor.com/jffa/megapik.htm,4446
soldetardor.com/jffa/sivotonica.htm,8096
sole-rift.itch.io/crawl,295634
solfege.org/main/homepage,709
solicall.com,3818
soliddocuments.com,12788
solinfor.net,2921
solitaire-spider.com,20731
solofrases.com/frases.shtml,5473
sololeveling.netmarble.com/en#,1000136099
solr.itch.io/there-you-are,177794
solrensun.itch.io/mmxii,247090
soluthinktech.com.br,1239900
solveigmm.com,4400
solveigmm.com/?products&id=avitrimmer,4073
solvermedia.com,5677
solvermedia.com/es/programa-de-gestion-software-tpv-para-perfumerias-drogueria.html,4841
solvermedia.com/w_videoclub2002.html,8106
solvermedia.org,859
somepeaceofmindgame.blogspot.gr,22361
somepythonthings.tk/programs/somepythonthings-calc,813721
somepythonthings.tk/programs/somepythonthings-music,884432
somepythonthings.tk/programs/somepythonthings-zip-manager,813730
somerandomdesigning.itch.io/decimate-drive,243460
something-we-made.itch.io/glide,145856
somethingwemade.se/toem,218896
somethingwickedgames.com,214419
somewhat.itch.io/pleasefollow,134681
somka08.itch.io/witch-hunter,218158
sonatinagame.com,305474
songbird-productions.com/product/crystal-mines-ii-buried-treasure-black-pcb,137507
sonic.sega.jp/sonic_heroes,4156
sonic2hd.com,148231
sonic3air.org,132189
sonicadvancerevamped.tumblr.com,227797
sonicfangameshq.com/forums/showcase/acceleration-of-suguri-y-edition.1478,265071
sonicfangameshq.com/forums/showcase/sonic-classic-2.964,175975
sonicfangameshq.com/forums/showcase/sonic-freedom-alpha-preview.826,130020
sonicfangameshq.com/forums/showcase/sonic-utopia-early-demo.33,25262
sonicfangameshq.com/forums/showcase/starbuster.704,139004
sonicfoundry.com,8258
sonicthehedgehog.com,22297
sonicworldfangame.com,200893
sonmoss.itch.io/smol-birb,139262
sonnet009games.itch.io/aloners-redux,169272
sonymediasoftware.com/products/showproduct.asp?pid=971,2500
sonymobile.com,20476
sonypictures.com/movies/silenthill,7389
sophieh.itch.io/dusk-child,134498
sophieh.itch.io/roseandtime,60526
sophiehoulden.com/games/splatdeathsalad,238077
sophos.com/en-us/products/free-tools/virus-removal-tool/free-download,1241684
sophos.com/products/free-tools/sophos-anti-rootkit.html,1318
sordum.org/10124/folder-painter-v1-3,1211204
sordum.org/9480/defender-control-v2-1,2125445
sorehodoh.itch.io/sanae-sylphide-breeze,300377
soronline.net/fangames_sorsh.htm,131109
soshareit.com,21649
sotaknuck.itch.io/sonic3d2d,177697
sothink.com,20303
sothink.com/webtools/dhtmlmenu/index.htm,2090
soulcube.itch.io/murus,165123
soulframe.com/en,209643
soulkingdoms.com,145767
soulsoftea.itch.io/baraboarders,183046
sound-recorder.biz/freesoundrecorder.html,15177
sound-recorder.com/sound-recorder-professional.html,236475
soundasleepful.itch.io/adaptory,222870
soundborb.com,5760
soundflavor.com,6896
soundindepth.com/soundindepth.htm,5715
soundrecorder.org,4835
soundspectrum.com/g-force,6548
soupmasters.itch.io/bigboyboxing,145410
sourceforge.net/p/opensyobon,78662
sourceforge.net/projects/aciqra,1854
sourceforge.net/projects/avstodvd,2369
sourceforge.net/projects/burst-plus,5797
sourceforge.net/projects/citespace,2173766
sourceforge.net/projects/digitalclock4,2149931
sourceforge.net/projects/doszip,2489
sourceforge.net/projects/empong,187128
sourceforge.net/projects/evacopy,28465
sourceforge.net/projects/extremetuxracer,51248
sourceforge.net/projects/ffpreloader,5116
sourceforge.net/projects/fma,6204
sourceforge.net/projects/fred,4088
sourceforge.net/projects/freerecover,22861
sourceforge.net/projects/grub4dos,4221
sourceforge.net/projects/guitartuner,5552
sourceforge.net/projects/icetea,6418
sourceforge.net/projects/imageshaker,3008
sourceforge.net/projects/instagramsaver,28487
sourceforge.net/projects/jconvert,2041
sourceforge.net/projects/jgnash,4619
sourceforge.net/projects/jpegview,22072
sourceforge.net/projects/justrename,5668
sourceforge.net/projects/keyrun,7789
sourceforge.net/projects/krut,6349
sourceforge.net/projects/lubbofancontrol,22824
sourceforge.net/projects/megasearch,6096
sourceforge.net/projects/mypomodoro,16613
sourceforge.net/projects/netmodhttp,1297668
sourceforge.net/projects/odf-converter,4650
sourceforge.net/projects/oooplayer,32933
sourceforge.net/projects/ozgis,1726016
sourceforge.net/projects/pc-viewer,5623
sourceforge.net/projects/qmp3gain,28851
sourceforge.net/projects/qorganizer,5013
sourceforge.net/projects/quizzer,4598
sourceforge.net/projects/rachota,15793
sourceforge.net/projects/regshot,4811
sourceforge.net/projects/sears,8274
sourceforge.net/projects/silisweb,4663
sourceforge.net/projects/smartcam,4456
sourceforge.net/projects/smarteraser,20558
sourceforge.net/projects/solarmodel,3682
sourceforge.net/projects/speedsim,8039
sourceforge.net/projects/taudioconverter,25970
sourceforge.net/projects/tuxclimber,3913
sourceforge.net/projects/tvseriesmanager,4613
sourceforge.net/projects/tweetybackup2,28699
sourceforge.net/projects/validaciones,5632
sourceforge.net/projects/viruseffectremo,29409
sourceforge.net/projects/voodooplayer,6259
sourceforge.net/projects/wally,478
sourceforge.net/projects/waveshop,21667
sourceforge.net/projects/yadfr/?source=dlp,23367
sourceforge.net/projects/yasminuroban,7178
sourceforge.net/projects/zunemytube,6598
sourceforge.net/u/spoiksoft/profile,709010
sourcetreeapp.com,1330738
southbaypc.com,4786
southbaypc.com/autosizer,7289
sovjetdog.itch.io/urg,178142
sowsoft.com/bigcroc.htm,8577
sowsoft.com/search.htm,2523
space-ewe.com/bud_redhead.html,71558
spacebackyard.itch.io/bird-of-passage,120249
spacefalling.itch.io/tenacious-odyssey-chimera,119136
spaceinvasion.bitmeup.com,196275
spacejock.com/trackaminute2.html,18088
spacejock.com/yread.html,26155
spacejock.com/ywriter5.html,4638
spacepiano.itch.io/augg-another-unity-grappling-game,145902
spacesiege.com,9276
spacestation13.com,66396
spacetimegames.co.uk/iframe/sabrewulf.htm,214785
spacezeta.itch.io/from-next-door,56408
spacial.com/sam-dj,1363748
spagato.itch.io/rushdown-reloaded,271932
spagato.itch.io/rushdown-rivals,265905
spambayes.sourceforge.net/windows.html,5346
spambully.com,6292
spamfighter.com/full-diskfighter,22670
spamfighter.com/slow-pcfighter,14135
spamina.com,5889
spamnullifier.com,8689
sparkar.facebook.com,1254181
sparkar.facebook.com/ar-studio/download,767869
sparkbooth.com,24802
sparkleshare.org,1000173401
sparklexp.com,4704
sparklinlabs.itch.io/gudul,134956
sparkmailapp.com,1253767
sparrowhousegames.itch.io/moonflight-classic,25204
sparsegamedev.itch.io/into-ruins,224107
sparsegamedev.itch.io/spring-falls,122845
spaz.ca/cronometer,6515
speak-a-message.com/en/index.html,13456
specialreservegames.com/reserves/absolver,74318
specials.msn.co.in/sp08/msphonedatamanager/whatis_it.asp,3062
spectrophobia.itch.io/omega-genesis,249291
spedumon.itch.io/small-on-top,245617
speechi.net/us/index.php/home/speechi-products/speechi-light,4340
speechpulse.com,1363856
speed-dreams.itch.io/speed-dreams,65339
speedcrunch.org,2426
speedcrypt.info/index.html,2086724
speedframe.itch.io/life-inc,125739
speedguide.net,7162
speedify.com,906571
speedinstall.com,17764
speedracerthemovie.warnerbros.com,13005
speedtest.net,791739
speedymessenger.net,7567
speldosainteractive.itch.io/project-shoreline,294550
spellforce.com/?rid=1338&lang=en,7031
spellforce.com/?rid=848,7027
spellforce.com/sf2/addon/?rid=1532&lang=en,7037
spellspikelang.epizy.com,1288492
spelunkyworld.com/original.html,8145
spencerberus.com/projects.aspx,14776
spesoft.com/spesoftfreecdripper.aspx,2350
spesoft.com/spesoftimageconverter.aspx,2372
spheresite.com,1612
spheresite.com/downloads.html,7390
spicaze.itch.io/silver-thread,202227
spicebird.com,2828
spiderman-friend-or-foe.com,5180
spidermandimensions.marvel.com,553
spideroak.com,18005
spidertanks.game,175785
spiderwebsoftware.com/avernum/avernum3old/index.html,57680
spiderwebsoftware.com/avernum/avernumold/index.html,19580
spiderwebsoftware.com/geneforge5/index.html,16774
spiderwickchronicles.com,13088
spielmannspiel.itch.io/stream-draws,139448
spike-chunsoft.co.jp/ai-nirvana/en,154708
spitblaze.itch.io/ghost-hospital,111741
splashdamage.com/content/download-wolfenstein-enemy-territory,6364
splashtop.com,935896
splashup.com/light,24491
splendidland.itch.io/franken,199805
splinegames.com,3757
splintercell.ubi.com,874
splinterlands.com,165055
spookulele.itch.io/spookulele-demo,204715
sportskeeping.com,6169
spotflux.com,21944
spotiamp.com,25421
spotify.com,950
spotikeep.com,861809
spotikeep.com/apple-music-converter,861815
spotlightor.itch.io/yet-another-exhausting-day?password=spotlightor,106278
spreadcamp.itch.io/space-madness,135332
spreadsheetconverter.com,2801
spreaker.com,135119
spreeentertainment.com,110393
spring-rabbit.itch.io/channel-7,240313
spring-rabbit.itch.io/hhs-pilot,249544
spring-rabbit.itch.io/night-freak,263430
spring-rabbit.itch.io/the-house,240315
spring-rabbit.itch.io/the-torture-house,303177
spring-rabbit.itch.io/westgrove,240321
sprintbit.com,2123
spymove.com/english.html,5238
spyrix.com,29265
spyrothedragon.com/uk/en,142243
spytech-web.com,16423
spyzooka.com,1340371
sqlitebrowser.org/about,1301135
sqlmaestro.com/products/mysql/phpgenerator,4689
sqlways.com,1363319
square-enix-games.com/en_us/games/nier-automata,103294
squeaksdcorgeh.itch.io/shipwrecked-64,210339
squidcor.itch.io/anger-foot,147184
squidsquadgames.itch.io/tanuki-sunset,125199
squinky.itch.io/dompam2,125051
squinky.itch.io/pamplemousse,134677
srb2.org,6342
srb2.org/download/historic-downloads,134011
srbrigao.itch.io/cube-gravity,182227
srjared.itch.io/fallen-world,213101
srnmicro.com/products/desktop.htm,17169
srw-v.suparobo.jp,117578
ssd-life.com/index.html,21663
ssg.com.au/rfts.htm,136513
st33d.itch.io/ending,63174
st3b.itch.io/what-lives-below,143490
stabyourself.net,8726
stabyourself.net/notpacman,135091
stabyourself.net/nottetris2,8727
stacher.io,1000161142
staff-ftp.com,5713
stafflogger.com,15071
stairfallinstitute.itch.io/the-heat-of-battle?ac=jxdabfqf,106673
stalcraft.net,1283098
star-conflict.com,21694
starbyteapps.com,1815594
starc.app,1000041837
starcraft.com,25683
starcutter.itch.io/among-us-arena,216295
stardock.com,1584
stardock.com/products/blognavigator,8266
stardock.com/products/bootskin,8776
stardock.com/products/deskscapes,14676
stardock.com/products/desktopx/downloads.asp,6537
stardock.com/products/logonstudio,5761
stardock.com/products/modernmix,22016
stardock.com/products/multiplicity,6847
stardock.com/products/rightclick,5640
stardock.com/products/soundpackager,14643
stardock.com/products/start11,1276025
stardock.com/products/start8/features.asp,20623
stardock.com/products/thecorporatemachine,72206
stardock.com/products/tiles,21517
stardownloader.com,7884
stardropsmh.github.io/sonic-and-the-fallen-star,207176
stardustsoftware.com/downloads/tools/sscontrol3,5548
starfallprophecy.com/en,26137
starforge.com,2649
starfortsoftware.com/details/video4pc,17129
stargardengames.itch.io/factori,154576
stargardengames.itch.io/sixit,145992
starlit.itch.io/numina,141250
starlproject.com,230150
starmourn.com,122849
starstable.com/en/starshinelegacy,196739
startisback.com,22077
startmenux.com/index.html,1231603
startrekgame.com,25160
startup-view.com,109859
startuptimer.com,1196582
starwars.ea.com/starwars/battlefront/bespin,19869
starwars.ea.com/starwars/battlefront/death-star,20470
starwars.ea.com/starwars/battlefront/features/battle-of-jakku,23293
starwars.ea.com/starwars/battlefront/outer-rim,18161
starwars.ea.com/starwars/battlefront/rogue-one,26201
starwarscommander.com,19429
starwarseclipse.com,185244
starwarshunters.com,143611
stateofdecay.com/2019/06/09/heartland,119302
stealthbastard.com,10923
steamberry.itch.io/a-faeries-tale,299783
steamcommunity.com/app/107900,16261
steamcommunity.com/app/328140,57334
steamcommunity.com/app/741270/discussions,74980
steamcommunity.com/groups/urbanterror,9532
steamcommunity.com/sharedfiles/filedetails/?id=119092239,64311
steamcommunity.com/sharedfiles/filedetails/?id=783007718,27924
steamcommunity.com/sharedfiles/filedetails/?id=798449661,116966
steamcommunity.com/sharedfiles/filedetails/?id=809918830,57549
steamcommunity.com/sharedfiles/filedetails?id=727284958,183424
steampowered.com,12748
steampowered.com/app/1097110/willy_morgan_and_the_curse_of_bone_town,133429
steampowered.com/app/1104290/info,145962
steampowered.com/app/1124050/ogre_tale,136628
steampowered.com/app/1136370/bear_and_breakfast,136772
steampowered.com/app/1160220/paradise_killer,127816
steampowered.com/app/1222690,44545
steampowered.com/app/1237980,53663
steampowered.com/app/1238030,202313
steampowered.com/app/1251930/my_lovely_wife,132573
steampowered.com/app/1262600,118896
steampowered.com/app/1269370,136712
steampowered.com/app/1278290/xdasher,132261
steampowered.com/app/1281790/sheepo,132631
steampowered.com/app/1360720/aethernaut,136660
steampowered.com/app/1367420/one_line_coloring,136636
steampowered.com/app/1371720/card_shark,136773
steampowered.com/app/1384770/scrutinized,136668
steampowered.com/app/1398100/orwells_animal_farm,58472
steampowered.com/app/1629660/moonshell_island,142585
steampowered.com/app/200590/sonic_generations__casino_night_dlc,133938
steampowered.com/app/2154820,223134
steampowered.com/app/219870,16413
steampowered.com/app/228400,531
steampowered.com/app/24980,13790
steampowered.com/app/254000,177107
steampowered.com/app/289580,36341
steampowered.com/app/310380,9815
steampowered.com/app/3160,20667
steampowered.com/app/333530,5441
steampowered.com/app/358180/history,172419
steampowered.com/app/369300/history,11320
steampowered.com/app/370100,26825
steampowered.com/app/418530/spelunky_2,75239
steampowered.com/app/426970,33894
steampowered.com/app/641780/the_drone_racing_league_simulator,76735
steampowered.com/app/681860,55583
steampowered.com/app/71340/sonic_generations_collection,28000
steampowered.com/app/901242,202309
steampowered.com/sharedfiles/filedetails?id=159562434,79728
steampowered.com/store/en-us/p/snowrunner--burning-bright-vinyl-wrap,148155
steelbook.com/releases/resident-evil-7-steelbook-edition,41857
steelbytes.com/?mid=20,792
steelguardian.itch.io/steel-guardian,204364
stef-pinto.itch.io/haram,228947
stefano-cagnani-3.itch.io/deathtroopers-a-star-wars-horror-story,296231
stefanobordoni.cloud/projects/horodruin,1511
stefanoravagni.com,780608
steffengerlach.de/freeware,7995
steffospieler.itch.io/a-buggy-adventure,143353
steganos.com,2129
steinsgate.jp/octet,65764
stella-emu.github.io,3828
stellafantasy.io,220582
stellar-blade.com,117170
stellar-info.com/ost-to-pst-converter.php,33969
stellardata-recovery.com,1217317
stellardata-recovery.com/excel-repair-win.php,1303351
stellardata-recovery.com/mailbox-exchange-recovery.php,1242020
stellardata-recovery.com/mbox-to-pst.php,1354836
stellardata-recovery.com/mdr.php,1308290
stellardata-recovery.com/mysql-recovery.php,1240380
stellardata-recovery.com/quickbooks-recovery.php,1244166
stellardata-recovery.com/sql-database-repair.php,1241141
stellardata-recovery.com/stellar-photo-recovery-professional.php,1230979
stellardata-recovery.com/tape-data-recovery.php,1270543
stellardata-recovery.com/wdr-home.php,1230946
stellardatarecovery.com/windows-data-recovery.php,33987
stellarinfo.com,1117969
stellarinfo.com/cd-data-recovery.htm,14400
stencyl.com,17662
stenkrossstudios.com,21620
stepmania.com,51311
stepmaniamedia.com,13100
stepok.net/eng/recomposit.htm,3844
stepok.net/lightdeveloper.htm,25480
stepok.net/pictureenlarger.htm,22149
stepok.net/rawimporter.htm,25924
stereo.jpn.org/eng/stphmkr,1265741
sterjosoft.com,22127
sterjosoft.com/startup-patrol.html,21737
stevensstuff.itch.io/floppy-minecraft,144104
stevieblund3r.github.io/editordle,249539
stgsys.com/stgthumb.asp,2420
stoch.itch.io/anode-heart,182028
stockmarketeye.com,14728
stoneloops.codeminion.com,67810
stopredeye.com,5472
store.beamdog.com/bundles/baldurs-gate-the-complete-saga,52616
store.epicgames.com/de/p/coreborn-c48442,215168
store.epicgames.com/de/p/mortal-shell--rotting-christ-pack,229714
store.epicgames.com/en-us/p/33-immortals-9873a2,252828
store.epicgames.com/en-us/p/9lives-arena-fb6229,134027
store.epicgames.com/en-us/p/a-tale-of-paper-refolded-edition-39dd94,213997
store.epicgames.com/en-us/p/absolute-drift,23835
store.epicgames.com/en-us/p/aces-of-the-luftwaffe-squadron-97086d,119084
store.epicgames.com/en-us/p/active-dbg-braves-rage-deed2f,233008
store.epicgames.com/en-us/p/aether-trading-card-game-420f51,222564
store.epicgames.com/en-us/p/alan-wake-2--deluxe-edition,250806
store.epicgames.com/en-us/p/anno-1800,197351
store.epicgames.com/en-us/p/assassin-the-first-list-f217dc,243295
store.epicgames.com/en-us/p/assassins-creed-shadows,300976
store.epicgames.com/en-us/p/asterix-and-obelix-slap-them-all-2-0ca63e,254845
store.epicgames.com/en-us/p/barrett-foster-chatper-one-3c91e2,250403
store.epicgames.com/en-us/p/black-myth-wukong-87a72b,136879
store.epicgames.com/en-us/p/blankos-block-party-09fc55,134573
store.epicgames.com/en-us/p/blights-wrath-16a247,257834
store.epicgames.com/en-us/p/book-of-yog-idle-rpg-74cebc,128478
store.epicgames.com/en-us/p/call-of-dragons-d85ee6,230103
store.epicgames.com/en-us/p/caverns-of-mars-recharged-6686f6,233624
store.epicgames.com/en-us/p/chrono-odyssey-366af5,141444
store.epicgames.com/en-us/p/chronoshot-4b6a41,138736
store.epicgames.com/en-us/p/citizen-conflict-95e40e,248301
store.epicgames.com/en-us/p/colossal-cave-6f902f,215119
store.epicgames.com/en-us/p/coryphaeus-championships-216f4a,250214
store.epicgames.com/en-us/p/counterattackuprising-06aed8,268324
store.epicgames.com/en-us/p/crime-boss,228541
store.epicgames.com/en-us/p/dark-and-darker-qa-c1e629,207266
store.epicgames.com/en-us/p/dead-island-2--sola,298542
store.epicgames.com/en-us/p/defimons-ac6e3e,230198
store.epicgames.com/en-us/p/disney-dreamlight-valley,198506
